"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SMYD4",377.2351243065,0.0575994944999454,0.0922509729555176,0.624378178945811,0.532379252184675,0.749890756268238
"OSBPL1A",846.922966927176,0.0740899498175515,0.0560748731926715,1.32126825437448,0.186411935072977,0.410816000250412
"OSBPL5",957.137214041448,-0.266739167447152,0.0690526101301184,-3.86283975282796,0.000112076531435422,0.00108475383867989
"OSBPL6",81.5096552744257,0.450116168060764,0.193284921563193,2.32877021352958,0.0198712421820957,0.0858828584287259
"OSBPL8",5115.27285434636,0.474651928303705,0.0457810433194074,10.3678704959197,3.47175108226189e-25,1.68009986800608e-23
"OSBPL9",681.831541623474,0.0926050200910054,0.067778892053809,1.36628111326292,0.171850746689008,0.389820500584204
"OSBPL10",31.4305647082207,-0.707015181763397,0.338285825358478,-2.08999351661921,0.0366183821064078,0.135375659333896
"OSBPL11",432.707850093072,0.113286410283921,0.0816838188855554,1.38688924966452,0.165475536431978,0.380437274223806
"C1QTNF3",95.2432567341776,-0.525591933578485,0.169440558908099,-3.10192516458562,0.00192266556470356,0.0128555124507472
"C1QTNF6",45.6687527964665,-0.384435622483152,0.234050951875753,-1.6425296261441,0.100480291597431,0.275490244975966
"FBXO32",159.822835248072,-0.0974248758266958,0.129163066447479,-0.754278126915726,0.450682233515815,0.685197845183475
"TMEM123",6270.56813871897,-0.0859876712923314,0.0449363703424271,-1.9135428748936,0.0556785901783228,0.183287647846567
"C5orf26",388.670345614245,-0.0773093866745567,0.08980326275838,-0.860875031707492,0.389306874599316,0.633273946172851
"C8orf40",523.796089397409,-0.142735014223199,0.0776363821950015,-1.83850676947681,0.0659877652663806,0.206242332521287
"GPRASP2",1196.2470415791,0.00855743578769991,0.0523662382511763,0.163415132984231,0.870191588642735,0.942704330071697
"MRFAP1L1",1680.85200457484,-0.0358968136886472,0.0520576545094563,-0.689558798353595,0.4904716851062,0.718345301883424
"PTPMT1",872.998276677691,-0.136534494709719,0.0698663961818941,-1.95422266169644,0.0506748904086428,0.17130521212289
"WDR31",200.582887045404,-0.153018542852124,0.128171168567853,-1.19386087028704,0.232532396143775,0.469437943864882
"VASN",544.7610983505,-0.361565814271813,0.104217826365201,-3.4693279152149,0.00052176219913113,0.00426069712817454
"ZNF618",374.483445523074,0.130288754585968,0.093137164181808,1.39889114866799,0.161845627268892,0.375456417837147
"NT5C3L",1072.75598665464,-0.061743623537537,0.0518785726359851,-1.1901565598339,0.233984863344917,0.470834374692309
"CCDC124",666.253978245789,-0.0156915633756619,0.0804511113236496,-0.195044706250679,0.845357949124362,0.929800329136391
"CCDC5",399.07731540941,-0.0952148454446449,0.0873869565824461,-1.08957731414772,0.275899380723476,0.519123952525858
"MARCH3",83.8227658660211,0.591494877843479,0.205125558118597,2.88357473963091,0.00393189330645407,0.0236033534126129
"ZNF554",155.975077663939,0.0436492061698326,0.133450005165874,0.327082836119624,0.743605233264162,0.875510080205725
"ATG4A",560.257861907658,0.0112924426431921,0.0716092160310788,0.157695381531494,0.874696839961616,0.944547926013471
"OMA1",993.691866035412,0.0444255893089691,0.0571871756952325,0.776845311363623,0.437250040001339,0.674820085261509
"DDIT4L",104.48134246619,0.15363292311186,0.178915125425511,0.858691643573886,0.390510662009571,0.634445500414009
"SLC25A26",204.904107289329,-0.183814003384691,0.114117239556577,-1.61074701858311,0.10723487306389,0.287387512741354
"PCMTD1",2236.82957630018,-0.0234885384747881,0.0449588644730641,-0.522445100651077,0.601360461195314,0.794191290212982
"GPR146",21.0538825388664,-1.28842115496874,0.391160428457039,-3.29384329608957,0.00098827577938076,0.00729347525183001
"LRRC42",630.384683859995,-0.194550690418789,0.0664407566592175,-2.92818294374133,0.00340949367983789,0.0209574707816376
"GBP4",18.7683400759986,-0.026102476973169,0.377024157225356,-0.0692329031785806,0.944804232983683,0.977417941394018
"LRRC56",157.778518279089,-0.0256840118106214,0.13386655662329,-0.191862795745901,0.84784968066951,0.93118607792157
"C7orf30",380.490891498004,-0.0974939323250897,0.0854100492824768,-1.14148081103019,0.253669892837992,0.494034981796307
"UHRF2",831.878992146702,0.508423999536445,0.0628366490617304,8.09120166540026,5.90789446721346e-16,1.86525181467531e-14
"ZNF689",246.071479595723,-0.10571739671762,0.104936661948385,-1.0074400572187,0.313723349824897,0.561534836248656
"FCHO2",567.3882844484,0.116883165990133,0.07501421799646,1.55814683018689,0.119198445630926,0.30758200306162
"ZNF501",111.52994663457,0.016367427987512,0.167318146126942,0.0978221930279707,0.92207348441197,0.966054831202574
"NOSTRIN",126.29935944147,0.102070892713936,0.146110708916851,0.698585979567199,0.484810808216005,0.712907350362963
"ALPK2",60.1996508581802,2.49889552632616,0.278026088516442,8.98798936337361,2.51794400846091e-19,9.65320871815143e-18
"SNX26",70.1781202729023,0.40353271021098,0.206329068332625,1.95577246324033,0.0504919641047685,0.170760833404021
"EVI5L",473.374612217972,0.136915691947696,0.0838501078040685,1.63286244386979,0.102497930412277,0.278420879297944
"C14orf172",317.710471488488,-0.128888573789842,0.10027076886456,-1.2854052606691,0.198650703844679,0.426329972918569
"DIS3L",1141.66506177309,-0.170108178859018,0.0593112888158146,-2.86805736741402,0.00413000640336165,0.0245184090552511
